MM: DD: YYYY hh: mm: ss, Seconds, filename, calibration factor, output_value, lux, range, grams, tareCount, weightAvg, zeroAvg, cgrams, currentMaxHist, batteryLevel
3/8/2022 10:56,1.09, SA020800.CSV,3320,307133,0,255,0,0,0,0,0,0,1
3/8/2022 10:56,2.59, SA020800.CSV,3320,307121,0,255,0.02,0,0,0,0.02,0,5.32
3/8/2022 10:56,4.08, SA020800.CSV,3320,307193,0,255,0,0,0,0,0,0,5.34
3/8/2022 10:56,5.58, SA020800.CSV,3320,307165,0,255,0,0,0,0,0,0,5.34
3/8/2022 10:56,7.07, SA020800.CSV,3320,307206,0,255,0.01,0,0,0,0.01,0,5.33
3/8/2022 10:56,8.57, SA020800.CSV,3320,307168,0,255,0.02,0,0,0,0.02,0,5.34
3/8/2022 10:57,54.67, SA020800.CSV,3320,351332,0,32,6.17,0,0,0.04,6.13,0,5.34
3/8/2022 10:57,55.74, SA020800.CSV,3320,330635,0,255,23.15,0,0,0.04,23.11,0,5.37
3/8/2022 10:57,56.79, SA020800.CSV,3320,307186,0,255,0,0,0,0.04,-0.04,0,5.33
3/8/2022 10:57,58.29, SA020800.CSV,3320,307188,0,255,0.01,0,0,0.04,-0.03,0,5.32
3/8/2022 10:57,59.79, SA020800.CSV,3320,307163,0,255,0.02,0,0,0.04,-0.02,0,5.33
3/8/2022 10:57,61.29, SA020800.CSV,3320,307643,0,255,0.14,0,0,0.04,0.1,0,5.34
3/8/2022 10:57,62.78, SA020800.CSV,3320,306068,0,255,0.36,0,0,0.04,0.32,0,5.35
3/8/2022 10:57,64.28, SA020800.CSV,3320,305731,0,255,0.41,0,0,0.04,0.37,0,5.34
3/8/2022 10:57,65.77, SA020800.CSV,3320,305666,0,255,0,0,0,0.04,-0.04,0,5.34
3/8/2022 10:57,67.27, SA020800.CSV,3320,307344,0,255,0,0,0,0.04,-0.04,0,5.32
3/8/2022 10:57,68.77, SA020800.CSV,3320,307744,0,255,0.11,0,0,0.04,0.07,0,5.34
3/8/2022 10:57,70.26, SA020800.CSV,3320,307568,0,255,0.17,0,0,0.04,0.12,0,5.35
3/8/2022 10:57,71.75, SA020800.CSV,3320,307642,0,255,0.12,0,0,0.04,0.08,0,5.34
3/8/2022 10:57,73.25, SA020800.CSV,3320,307600,0,255,0.14,0,0,0.04,0.1,0,5.34
3/8/2022 10:57,74.75, SA020800.CSV,3320,307525,0,255,0.13,0,0,0.04,0.09,0,5.34
3/8/2022 10:57,76.25, SA020800.CSV,3320,307527,0,255,0.12,0,0,0.04,0.08,0,5.34
3/8/2022 11:03,419.83, SA020800.CSV,3320,309246,0,112,0.61,0,0,0.44,0.16,0,5.36
3/8/2022 11:03,420.89, SA020800.CSV,3320,309126,0,255,0.61,0,0,0.44,0.17,0,5.36
3/8/2022 11:03,422.39, SA020800.CSV,3320,309119,0,255,0.6,0,0,0.44,0.15,0,5.35
3/8/2022 11:03,423.89, SA020800.CSV,3320,309010,0,255,0.59,0,0,0.44,0.15,0,5.34
3/8/2022 11:03,425.38, SA020800.CSV,3320,337782,0,255,9.78,0,0,0.44,9.34,0,5.34
3/8/2022 11:03,426.88, SA020800.CSV,3320,309096,0,255,4.19,0,0,0.44,3.75,0,5.35
3/8/2022 11:03,428.37, SA020800.CSV,3320,309065,0,255,0.58,0,0,0.44,0.13,0,5.34
3/8/2022 11:03,429.87, SA020800.CSV,3320,308988,0,255,0.58,0,0,0.44,0.14,0,5.34
3/8/2022 11:03,431.37, SA020800.CSV,3320,309114,0,255,0.57,0,0,0.44,0.13,0,5.35
3/8/2022 11:03,432.86, SA020800.CSV,3320,309039,0,255,0.58,0,0,0.44,0.13,0,5.34
3/8/2022 11:03,434.35, SA020800.CSV,3320,309144,0,125,0.58,0,0,0.44,0.14,0,5.34
3/8/2022 11:03,435.85, SA020800.CSV,3320,310467,0,125,0.59,0,0,0.44,0.15,0,5.36
3/8/2022 11:03,437.34, SA020800.CSV,3320,334869,0,65,6.8,0,0,0.44,6.36,0,5.34
3/8/2022 11:03,438.84, SA020800.CSV,3320,352166,0,57,9.07,0,0,0.44,8.63,0,5.34
3/8/2022 11:03,440.33, SA020800.CSV,3320,354013,0,41,14.89,0,0,0.44,14.45,0,5.36
3/8/2022 11:03,441.39, SA020800.CSV,3320,360603,0,25,18.35,0,0,0.44,17.91,0,5.34
3/8/2022 11:03,442.45, SA020800.CSV,3320,373909,0,37,20.19,0,0,0.44,19.75,0,5.34
3/8/2022 11:03,443.5, SA020800.CSV,3320,374874,0,37,20.88,0,0,0.44,20.44,0,5.34
3/8/2022 11:03,444.55, SA020800.CSV,3320,376117,0,12,20.36,0,0,0.44,19.91,0,5.33
3/8/2022 11:03,445.61, SA020800.CSV,3320,385737,0,15,23.2,0,0,0.44,22.75,0,5.34
3/8/2022 11:03,446.67, SA020800.CSV,3320,362382,0,38,18.02,0,0,0.44,17.58,0,5.36
